pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,boldvoice,108128217985547,BoldVoice,842332762278836,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,76,93,84,93,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,963021493179330,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,77,96,86,96,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1987833111815888,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,78,79,78,79,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1537041057832462,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,79,110,94,110,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1874821299894779,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,80,111,96,111,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,845189768634133,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,81,112,96,112,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1686656045915532,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,81,98,90,81,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1659096618576169,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,82,103,92,103,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1909273163346819,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,84,113,98,113,True,False,167,0.0,False,False,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2892520044414011,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,85,114,100,114,True,False,167,0.0,False,False,False,new,high
