ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1484981409690710,Marathi,Marathi,agree,false
1485119189949790,English,Hindi,disagree,true
1485718526534550,English,Hindi,disagree,true
1486315572970305,Tamil,Tamil,agree,false
1486511518988909,English,Hindi,disagree,true
1486895715778238,Malayalam,Malayalam,agree,false
1487023816479013,English,Hindi,disagree,true
1487072386145745,English,English,agree,false
1487362129537955,English,Hindi,disagree,true
1487480122759476,English,Hindi,disagree,true
1487582089569840,Telugu,Telugu,agree,false
1487853392436697,Telugu,Telugu,agree,false
1488073576103618,Gujarati,Gujarati,agree,false
1488089789765921,English,Hindi,disagree,true
1488277815957869,Telugu,Telugu,agree,false
1488525479334576,Telugu,Telugu,agree,false
1488914539399319,Telugu,Telugu,agree,false
1489480965907714,Gujarati,Gujarati,agree,false
1489528902711053,Telugu,Telugu,agree,false
1489698239617285,Telugu,Telugu,agree,false
1490811412668874,English,Hindi,disagree,true
1491104619093475,Gujarati,Gujarati,agree,false
1491322362783599,Gujarati,Gujarati,agree,false
1492236602640876,Tamil,Tamil,agree,false
1492746895696930,Tamil,Tamil,agree,false
1493169602282638,Telugu,Telugu,agree,false
1493468135853086,Telugu,Telugu,agree,false
1493763522185565,Malayalam,Malayalam,agree,false
1494109405462807,Marathi,Marathi,agree,false
1495057108934221,Marathi,Marathi,agree,false
1495070945529416,Marathi,Marathi,agree,false
1495407728856561,Bengali,Bengali,agree,false
1495472408716092,Tamil,Tamil,agree,false
1496114285478679,Marathi,Marathi,agree,false
1496480095586708,Tamil,Tamil,agree,false
1496611822156872,Gujarati,Gujarati,agree,false
1497075785250883,Kannada,Kannada,agree,false
1497560987900464,Malayalam,Malayalam,agree,false
1497741681853834,Telugu,Telugu,agree,false
1498164595276790,Gujarati,Gujarati,agree,false
1498882485354087,Tamil,Tamil,agree,false
1499237924705868,Kannada,Kannada,agree,false
1499961814988586,English,Hindi,disagree,true
1500069821493677,Marathi,Marathi,agree,false
1500146871561558,Telugu,Telugu,agree,false
1500392072102714,Telugu,Telugu,agree,false
1500426661589445,English,Hindi,disagree,true
1500440954766383,Tamil,Tamil,agree,false
1500516918382773,Telugu,Telugu,agree,false
1500805688153912,Marathi,Marathi,agree,false
1501933281301258,English,Hindi,disagree,true
1502750718528352,Kannada,Kannada,agree,false
1503072351399232,Telugu,Telugu,agree,false
1503317931521366,English,Hindi,disagree,true
1504897837819150,Marathi,Marathi,agree,false
1505238367859240,Marathi,Marathi,agree,false
1505253420458938,English,,copy_only,false
1505587977729241,Kannada,Kannada,agree,false
1505673714266930,Marathi,Marathi,agree,false
1505743891180697,Bengali,Bengali,agree,false
1505891424660108,Tamil,Tamil,agree,false
1506409264305894,Kannada,Kannada,agree,false
1506466884530800,Gujarati,Gujarati,agree,false
1506619871166049,Marathi,Marathi,agree,false
1506622564414295,Marathi,Marathi,agree,false
1506950921002125,English,Hindi,disagree,true
1508591900887307,Marathi,Marathi,agree,false
1509398264054775,Tamil,Tamil,agree,false
1509492873884162,Marathi,Marathi,agree,false
1509591393863692,Marathi,Marathi,agree,false
1510029493813221,Kannada,Kannada,agree,false
1510521857442967,Telugu,Telugu,agree,false
1510761807190895,Marathi,Marathi,agree,false
1511239463793904,Tamil,Tamil,agree,false
1511421143660267,Marathi,Marathi,agree,false
1511504937368732,Gujarati,Gujarati,agree,false
1513317316827089,English,Hindi,disagree,true
1514363137003205,Telugu,Telugu,agree,false
1514417556866116,Gujarati,Gujarati,agree,false
1515067203533260,Telugu,Telugu,agree,false
1516027933547951,Tamil,Tamil,agree,false
1517658706674605,Telugu,Telugu,agree,false
1518609409895801,English,Hindi,disagree,true
1519183813092055,Tamil,Tamil,agree,false
1519407696310883,Tamil,Tamil,agree,false
1519955099838378,Malayalam,Malayalam,agree,false
1520336123110661,Marathi,Marathi,agree,false
1520431749655532,Telugu,Telugu,agree,false
1521260382932826,English,Hindi,disagree,true
1521686099968292,Kannada,Kannada,agree,false
1523052696135524,Tamil,Tamil,agree,false
1523637609344603,Telugu,Telugu,agree,false
1524329376091352,English,Hindi,disagree,true
1524688152699651,Telugu,Telugu,agree,false
1524706855951660,English,Hindi,disagree,true
1524730945708418,English,Hindi,disagree,true
1526192532480742,Tamil,Tamil,agree,false
1526617879093958,English,Hindi,disagree,true
1528642198598715,Gujarati,Gujarati,agree,false
1528976885507695,English,Hindi,disagree,true
1529031282072857,English,Hindi,disagree,true
