pipeline,competitor,page_id,page_name,ad_id,media_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,praktika-ai,104781132385804,Praktika,989378867034545,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,512,531,522,531,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1513799287206358,Video,2026-05-28,2026-05-28,1,1,2026-05-15,13,False,514,514,514,514,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1521000429474772,Video,2026-06-04,2026-06-04,1,1,,0,True,514,514,514,514,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1329431442666763,Video,2026-05-28,2026-06-04,2,2,2026-05-06,29,False,516,529,522,529,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,2098127834114539,Video,2026-05-28,2026-06-04,2,2,2026-05-24,11,False,516,679,598,516,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1497065688756666,Video,2026-05-28,2026-05-28,1,1,2026-05-14,14,False,517,517,517,517,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1189877389936378,Video,2026-06-04,2026-06-04,1,1,,0,True,517,517,517,517,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1567421734731778,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,518,578,548,578,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1522363002634554,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,519,546,532,546,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,919289757793243,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,519,1641,1080,519,True,False,1825,0.0,False,False,True,new,high
facebook,praktika-ai,104781132385804,Praktika,3015744558816351,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,521,561,541,561,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1685975802541955,Video,2026-05-28,2026-05-28,1,1,2026-04-05,53,False,522,522,522,522,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1007880584920968,Video,2026-05-28,2026-05-28,1,1,2026-05-14,14,False,523,523,523,523,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1733170521173379,Image,2026-06-04,2026-06-04,1,1,,0,True,523,523,523,523,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1927224791262832,Video,2026-05-28,2026-06-04,2,2,2026-05-01,34,False,524,583,554,583,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1279173524379380,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,526,574,550,574,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1990632754913437,Video,2026-06-04,2026-06-04,1,1,,0,True,526,526,526,526,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,916740554533213,Video,2026-05-28,2026-06-04,2,2,2026-04-13,52,False,527,582,554,582,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,997435426034536,Video,2026-06-04,2026-06-04,1,1,,0,True,527,527,527,527,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,26687790897515346,Video,2026-05-28,2026-06-04,2,2,2026-05-06,29,False,528,587,558,587,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,779317025050500,Video,2026-05-28,2026-06-04,2,2,2026-04-02,63,False,529,570,550,570,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1973387603313014,Video,2026-05-28,2026-06-04,2,2,2026-05-06,29,False,530,553,542,553,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1300861378258007,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,530,946,738,530,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,2147829932681913,Video,2026-05-28,2026-05-28,1,1,2026-05-24,4,False,531,531,531,531,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,844319812088258,Video,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,532,532,532,532,False,True,1809,0.0,False,False,False,loser,low
facebook,praktika-ai,104781132385804,Praktika,1001169269062979,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,532,536,534,532,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1245562094131968,Video,2026-05-28,2026-06-04,2,2,2026-05-23,12,False,533,594,564,594,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1003731575970097,Video,2026-06-04,2026-06-04,1,1,,0,True,533,533,533,533,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,2300825397060071,Image,2026-05-28,2026-06-04,2,2,2026-04-01,64,False,535,556,546,556,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,987803063727036,Video,2026-05-28,2026-06-04,2,2,2026-05-18,17,False,535,885,710,535,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1532919681720212,Image,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,536,659,598,536,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1462797218359971,Video,2026-05-28,2026-06-04,2,2,2026-05-21,14,False,537,549,543,549,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1531054065215929,Video,2026-05-28,2026-06-04,2,2,2026-05-20,15,False,537,631,584,537,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1003539565355955,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,538,599,568,538,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1276285221309176,Video,2026-05-28,2026-06-04,2,2,2026-04-24,41,False,539,601,570,601,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,985609267722879,Video,2026-06-04,2026-06-04,1,1,,0,True,539,539,539,539,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1339285608076301,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,540,686,613,540,True,False,1825,0.0,False,False,False,new,high
facebook,praktika-ai,104781132385804,Praktika,1936937784360945,Video,2026-05-28,2026-05-28,1,1,2026-05-23,5,False,541,541,541,541,False,True,1809,0.0,False,False,False,loser,low
