row_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,competitor_analysis_image_r2_urls,supernova_rewrite_image_r2_urls,page_rank
30,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR06800463028199358465,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR06800463028199358465?region=IN,YouTubeVideo,2026-06-22,"2428,2818,2050,2191,2674,2705,2254,2196,2233,2372,2356,2788,2032,2300,2410,2208,2586,2352,2368,2764,2608,2203,2498,2484,2804,2642,2616,2012,2076,2008,2100,2470,2250,2840,2620,2398,2528,2056,2703,2724,2752,2458,2214,2404,2360,2380,2442,2704,2070,2504,2040,2756,2578,2826,2348,2144,2792,2276,2682,2440,2246",2,4,Scopri le lezioni interattive di Busuu negli scenari di vita reale. Prova subito!,Installa,,,,,,,,,,,00:00,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,30
32,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07528491286593011713,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07528491286593011713?region=IN,Image,2026-06-22,"2620,2250,2356,2276,2442,2616,2638,2724,2528,2474,2380,2642,2608,2254,2056,2175,2300",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16545434174002567686,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR07528491286593011713.jpg,2026-06-03,2026-06-22,,,,,32
33,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07531383173972754433,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07531383173972754433?region=IN,Image,2026-06-21,"2348,2356,2840,2040,2250,2100,2616,2191,2300,2203,2124,2276,2380,2642,2724",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/9614991806555568111,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR07531383173972754433.jpg,2026-06-03,2026-06-22,,,,,33
34,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07564755104222412801,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07564755104222412801?region=IN,Image,2026-06-21,"2724,2756,2826,2372,2196,2356,2752,2380,2442,2528,2620,2470,2050,2191,2616,2840,2100,2250,2056,2144,2642,2440,2348,2246,2276,2300,2586,2203,2578",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/15371302436370383289,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR07564755104222412801.jpg,2026-06-03,2026-06-22,,,,,34
35,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR07972347809850458113,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR07972347809850458113?region=IN,Image,2026-06-21,"2586,2840,2124,2804,2484,2170,2380,2566,2792,2642,2348,2608,2724,2032,2356,2203,2076,2616,2300",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/15725222600364576780,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR07972347809850458113.jpg,2026-06-03,2026-06-22,,,,,35
36,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08166446074970505217,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08166446074970505217?region=IN,Image,2026-06-21,"2380,2724,2250,2056,2442,2356,2276,2756,2642,2528,2474,2254,2638,2175",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13030103234049794579,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08166446074970505217.jpg,2026-06-03,2026-06-22,,,,,36
36,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08166446074970505217,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08166446074970505217?region=IN,Image,2026-06-04,"2474,2756,2250,2056,2442,2356,2724,2276,2642,2528,2254,2638,2175,2380",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/13030103234049794579,,2026-06-04,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08166446074970505217.jpg,2026-06-03,2026-06-05,,,,,
37,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08341967678822416385,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08341967678822416385?region=IN,Image,2026-06-21,"2380,2076,2124,2840,2484,2276,2616,2356,2724,2250,2203",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/9684764950189117145,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08341967678822416385.jpg,2026-06-03,2026-06-22,,,,,37
38,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08682293225135800321,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08682293225135800321?region=IN,Image,2026-06-22,"2442,2300,2380,2504,2203,2756,2474,2826,2144,2440,2348,2642,2246,2050,2276,2638,2703,2191,2616,2528,2705,2620,2100,2254,2056,2250,2724,2752,2372,2356",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16897353154047575764,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08682293225135800321.jpg,2026-06-03,2026-06-22,,,,,38
39,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08682293225135800321,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08682293225135800321?region=IN,Image,2026-06-14,"2442,2203,2724,2504,2300,2756,2276,2826,2638,2474,2642,2246,2144,2440,2348,2254,2250,2050,2705,2100,2616,2191,2372,2056,2356,2380,2620,2528,2703,2752",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/16897353154047575764,,2026-06-15,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08682293225135800321.jpg,2026-06-03,2026-06-15,,,,,39
39,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR08958116265403088897,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR08958116265403088897?region=IN,Image,2026-06-21,"2528,2705,2499,2056,2250,2348,2804,2792,2682,2440,2300,2642,2246,2208,2410,2578,2807,2392,2352,2203,2784,2414,2233,2752,2380,2442,2070,2191,2703,2356,2376,2470,2100,2428,2688,2616,2620",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/3048677373972775040,,2026-06-22,,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/g_CR08958116265403088897.jpg,2026-06-03,2026-06-22,,,,,39
41,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR09292026745483952129,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR09292026745483952129?region=IN,YouTubeVideo,2026-06-21,"2688,2056,2804,2608,2031,2642,2484,2638,2410,2170,2788,2203,2368,2764,2300,2498,2208,2352,2196,2586,2356,2372,2152,2233,2032,2191,2428,2674,2705,2050,2818,2144,2348,2112,2276,2440,2792,2246,2504,2756,2040,2578,2682,2704,2218,2398,2826,2604,2862,2724,2458,2360,2442,2380,2620,2528,2752,2616,2012,2008,2470,2703,2250,2100,2840,2076",0,3,Installa,,,,,,,,,,,,00:00,2026-06-22,html5-banner-no-mp4,,2026-06-03,2026-06-22,,,,,41
