ad_library_id,creative_index_in_ad,ad_media_type,creative_aspect_ratio,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date
2892999924237848,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/651790615_1242888844618948_489925638067505936_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4XyEUnLlg9wQ7kNvwEbFgMi&_nc_oc=Adopx0i7EQvD80wS4lNn6Gdher2LrVzImaM2kFiHLjtQcdrPWCQ5xRmvpGMBbiCtE3k&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af6DsKxW-Dzztj2UK8DJstRLCsR8P0mGQ4Q-slgAAHvI9Q&oe=6A1F3810,2026-06-02T20:07:44.000Z,2026-05-29
1536513561235052,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/663337971_4084629035015327_8095646973279152712_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ewgSMMxFYo0Q7kNvwElztEV&_nc_oc=Adpxo2crTiwr_75zuxmwx-FNuvp-kyoQNeYmnYfB01LHNBKPe3ej5hdgmmC-GweshBw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af68L23Ps3-XNlNezqNyUnhM2ijc0p46AmKO1QI5fOBKCQ&oe=6A1F151D,2026-06-02T17:38:37.000Z,2026-05-29
3290445064450130,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/703692056_35815806391399431_3270377855978329378_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=NTkFXEuvMo8Q7kNvwHsNjJt&_nc_oc=AdpuasG6CNOUKOuztaU3jXpdFmdGHlVRxKF30ma5WRZh8h7JOSassshMOAAKw0rl58E&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af5fUbeDEhKWNLur080VL5CJ00GUb7u2f3aJFjxXO5oWSA&oe=6A1F406D,2026-06-02T20:43:25.000Z,2026-05-29
860435503765923,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/698558252_971425679214931_8941558696665129419_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=hDs1NjJMdQcQ7kNvwHN4IPZ&_nc_oc=AdohTc9DQf_lYwoVOMnTP4IX8eAG7U361ZPnbxdYD04QChXaEB3xoWeEO_QY8BZRhOc&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af4m4bKyIYgdp0-tCOWdqmJLIcrDnnsgoNr_xoh8jApxcA&oe=6A1F0E55,2026-06-02T17:09:41.000Z,2026-05-29
1928665727849455,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/668523948_26859191170341447_3584159372173364707_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Jd6TAcs1ThUQ7kNvwHq1BPM&_nc_oc=AdqGvXoV8i0cCZ15SSyglqydrf5J4TScsztwUGtC-yU_m1VSLpZuoFoPK2SQ_dc-3s0&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af6X9XI53ufv8iT0aqWcp8CIETS-CTmFlH_fIExtBKDi7g&oe=6A1F231B,2026-06-02T18:38:19.000Z,2026-05-29
2055734171992505,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/653854807_937250802007131_6045390416016908828_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qAFdiUigwksQ7kNvwFOmHZY&_nc_oc=AdqaaFapcEzFacqu9g6Nhe4GBvr5LAp6CFxcBH6m8wghp77bOjj2Iq_ZwR9-N1SeBsY&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=agqYCaOpfU4xEsflTAitZQ&_nc_ss=7b2a8&oh=00_Af6qFzP6rb3BgF4xbKHNrH77NKv3I7tOzfOpD2J_KK76tQ&oe=6A1F12D2,2026-06-02T17:28:50.000Z,2026-05-29
1970684320205056,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/662185442_972817099037268_8906469921975486401_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Fa1NnO5MgfAQ7kNvwFEYqx2&_nc_oc=Adoppsqb4PZCRZWrGEang51qeQMeWf0ubPSdPDtMRcfLCha9NhOtRR1jVC2nn61gNHM&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=0H7Uu-ZY3GcchgkbtaoY9Q&_nc_ss=7b2a8&oh=00_Af57aDsfbbSNzqpFUP71_iodepNS8RR8qijjYcLKNyDaBg&oe=6A1F389C,2026-06-02T20:10:04.000Z,2026-05-29
4581926012036327,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/696049919_1003945828956952_5232230805725373628_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=wcZUTkSMMYkQ7kNvwF-Ei92&_nc_oc=AdrpnRk93j53LQ-HgO_rhFvVYhc8fXZkQ3nA4nEhqW5n_LypRSlEvJq31mwXmTJFA_E&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=0H7Uu-ZY3GcchgkbtaoY9Q&_nc_ss=7b2a8&oh=00_Af665BGgxAGhIszEOfV1PtpufmuK7qvPKH_syaOpmI0Cgw&oe=6A1F1ABB,2026-06-02T18:02:35.000Z,2026-05-29
1622959015665389,0,Image,4:5,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/699860149_2255797801621632_5575263509399569694_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=1W9YbVQp-FMQ7kNvwF3_YOG&_nc_oc=AdrDg23cz3kg3CLC2nObyO107Na0XKOR8mF0nsWNiAutnXkbrYuE4J6klVyexcgsdMc&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=0H7Uu-ZY3GcchgkbtaoY9Q&_nc_ss=7b2a8&oh=00_Af7AKNu50OvgDRvVrcFquE6BiEJr2HYQr0gFcP2Lee4xeg&oe=6A1F330A,2026-06-02T19:46:18.000Z,2026-05-29
1499522691871814,0,Image,4:5,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/699874162_4885318931695070_1367779175342253124_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=lBSifgPb7Z4Q7kNvwHfPoip&_nc_oc=AdoBv8JXik1-KmBEKorlvO5vlf45lLnvr5TnJf-tQcaQXvBErh5rtA-niiSd_13BKVI&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=0H7Uu-ZY3GcchgkbtaoY9Q&_nc_ss=7b2a8&oh=00_Af5AU7MkXiJarq1AELIGtC7_Xbe90XrbXV2jfuik8w2JwA&oe=6A1F41FA,2026-06-02T20:50:02.000Z,2026-05-29
