row_rank,page_rank,competitor_name,advertiser_id,advertiser_name,advertiser_verified_location,target_country,creative_id,creative_url,creative_format,creative_last_shown_date,regions_shown,variant_index,variant_count,ad_headline,ad_description,ad_cta_text,ad_overlay_text,ad_destination_url,youtube_video_id,youtube_video_url,youtube_video_title,youtube_video_description,youtube_channel_name,youtube_video_duration_s,image_url_at_scrape,aspect_ratio,scrape_run_date,error_tag
56,56,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13161052376573935617,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13161052376573935617?region=IN,Image,2026-06-14,"2032,2203,2218,2764,2300,2586,2440,2276,2704,2484,2642,2170,2348,2608,2792,2804,2840,2116,2818,2250,2191,2076,2104,2616,2703,2100,2620,2050,2380,2428,2124,2356,2566,2360,2724",0,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6844393818826724566,,2026-06-15,
57,57,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13161052376573935617,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13161052376573935617?region=IN,Image,2026-06-14,"2032,2203,2218,2764,2300,2586,2440,2276,2704,2484,2642,2170,2348,2608,2792,2804,2840,2116,2818,2250,2191,2076,2104,2616,2703,2100,2620,2050,2380,2428,2124,2356,2566,2360,2724",1,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6844393818826724566,,2026-06-15,
58,58,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13161052376573935617,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13161052376573935617?region=IN,Image,2026-06-14,"2032,2203,2218,2764,2300,2586,2440,2276,2704,2484,2642,2170,2348,2608,2792,2804,2840,2116,2818,2250,2191,2076,2104,2616,2703,2100,2620,2050,2380,2428,2124,2356,2566,2360,2724",2,3,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6844393818826724566,,2026-06-15,
59,59,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13503526609126162433,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13503526609126162433?region=IN,Image,2026-06-14,"2724,2250,2032,2348,2076,2100,2616,2050,2356,2586,2840,2124,2792,2484,2170,2642,2804,2380,2608",0,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6055446935942826814,,2026-06-15,
60,60,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13503526609126162433,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13503526609126162433?region=IN,Image,2026-06-14,"2724,2250,2032,2348,2076,2100,2616,2050,2356,2586,2840,2124,2792,2484,2170,2642,2804,2380,2608",1,2,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/6055446935942826814,,2026-06-15,
61,61,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13570237484276645889,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13570237484276645889?region=IN,Image,2026-06-14,"2356,2840,2124",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/14613383711352140608,,2026-06-15,
62,62,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR13607785462767812609,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR13607785462767812609?region=IN,Image,2026-06-15,"2203,2578,2784,2414,2233,2442,2380,2428,2752,2070,2100,2356,2620,2470,2191,2376,2250,2056,2616,2528,2705,2688,2703,2348,2792,2499,2642,2682,2246,2804,2440,2208,2300,2392,2410,2352,2807",0,1,,,,,,,,,,,,https://tpc.googlesyndication.com/archive/simgad/10985227566807055179,,2026-06-15,
63,63,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR14166047442205671425,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR14166047442205671425?region=IN,YouTubeVideo,2026-06-14,"2356,2752,2372,2442,2380,2196,2724,2250,2056,2674,2076,2100,2616,2191,2703,2620,2528,2428,2705,2818,2440,2470,2246,2642,2276,2792,2348,2578,2040,2826,2392,2203,2208,2300,2504,2756",0,4,Con Busuu Puoi Superare Le Prove Di Giapponese. Esercitati Con I Madrelingua Oggi Stesso!,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
64,64,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR14166047442205671425,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR14166047442205671425?region=IN,YouTubeVideo,2026-06-14,"2356,2752,2372,2442,2380,2196,2724,2250,2056,2674,2076,2100,2616,2191,2703,2620,2528,2428,2705,2818,2440,2470,2246,2642,2276,2792,2348,2578,2040,2826,2392,2203,2208,2300,2504,2756",1,4,Installa app - Busuu: Impara le lingue,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
65,65,Busuu,AR10122694483049971713,Busuu Limited,United Kingdom,IN,CR14166047442205671425,https://adstransparency.google.com/advertiser/AR10122694483049971713/creative/CR14166047442205671425?region=IN,YouTubeVideo,2026-06-14,"2356,2752,2372,2442,2380,2196,2724,2250,2056,2674,2076,2100,2616,2191,2703,2620,2528,2428,2705,2818,2440,2470,2246,2642,2276,2792,2348,2578,2040,2826,2392,2203,2208,2300,2504,2756",2,4,Con Busuu Puoi Superare Le Prove Di Giapponese. Esercitati Con I Madrelingua Oggi Stesso!,Installa,,,,,,,,,,,00:00,2026-06-15,html5-banner-no-mp4
